Date,Samsung Etc,LG Chem,KT&G,CJ Lo
12/9/2019,51200,295000,95500,151500
12/10/2019,51500,299000,95600,157000
12/11/2019,51900,300500,95300,155000
12/12/2019,53300,300500,95900,154500
12/13/2019,54700,303000,95800,155000
12/16/2019,54700,309000,96000,154500
12/17/2019,56700,305500,96300,152500
12/18/2019,56300,307000,97000,152000
12/19/2019,56000,309000,97300,152000
12/20/2019,56000,314500,96900,153500
12/23/2019,55500,313000,97200,151500
12/24/2019,55000,312500,97400,150000
12/26/2019,55400,308000,97600,150000
12/27/2019,56500,310500,94300,154500
12/30/2019,55800,317500,93800,155000
1/2/2020,55200,314000,92500,152500
1/3/2020,55500,311000,92500,148000
1/6/2020,55500,307000,92700,147000
1/7/2020,55800,311000,93000,147000
1/8/2020,56800,302000,91800,143500
1/9/2020,58600,306500,92700,143500
1/10/2020,59500,325000,94700,143500
1/13/2020,60000,332500,94100,145500
1/14/2020,60000,333500,94100,145000
1/15/2020,59000,328500,94100,145500
1/16/2020,60700,329000,94300,145000
1/17/2020,61300,333000,94000,144000
1/20/2020,62400,354000,93000,145500
1/21/2020,61400,344500,93700,146000
1/22/2020,62300,351500,93600,143500
1/23/2020,60800,348500,93500,142000
1/28/2020,58800,336500,93200,136000
1/29/2020,59100,335000,95100,139000
1/30/2020,57200,343500,93900,143000
1/31/2020,56400,337500,95100,146000
2/3/2020,57200,350000,93400,142500
2/4/2020,58900,379500,91600,141500
2/5/2020,59500,382000,92700,143000
2/6/2020,61100,382000,92900,145500
2/7/2020,60400,386500,93700,147000
2/10/2020,59700,387000,92700,146500
2/11/2020,59900,413500,93000,143500
2/12/2020,60500,408000,93100,145000
2/13/2020,60700,411500,92200,148000
2/14/2020,61800,413500,90400,143500
2/17/2020,61500,419500,90300,141500
2/18/2020,59800,418000,89300,140000
2/19/2020,60200,404000,88000,139000
2/20/2020,60000,419000,86300,137000
2/21/2020,59200,407000,85500,136500
2/24/2020,56800,395000,83700,134500
2/25/2020,57900,399500,83900,136500
2/26/2020,56500,395000,83100,137000
2/27/2020,55900,388000,86200,137500
2/28/2020,54200,368000,84700,133500
3/2/2020,55000,377000,85400,132000
3/3/2020,55400,386500,84900,135000
3/4/2020,57400,392000,81500,142000
3/5/2020,57800,406000,82500,142000
3/6/2020,56500,400000,82100,140500
3/9/2020,56500,400000,82100,140500
3/10/2020,54600,373500,82300,137000
3/11/2020,52100,365000,82200,136500
3/12/2020,52100,365000,82200,136500
3/13/2020,49950,340500,79100,122000
3/16/2020,48900,312500,79300,119500
3/17/2020,47300,306500,77500,118500
3/18/2020,45600,280000,75500,125500
3/19/2020,42950,230000,69100,127000
3/20/2020,45400,272500,67900,133500
3/23/2020,42500,268000,63600,132000
3/24/2020,46950,288000,67700,132000
3/25/2020,48650,307500,72100,131000
3/26/2020,47800,299500,72200,129500
3/27/2020,48300,303500,74500,129500
3/30/2020,47850,303000,73400,132500
3/31/2020,47750,305000,74700,136000
4/1/2020,45800,292000,71000,128000
4/2/2020,46800,291000,71300,131000
4/3/2020,47000,290500,74900,127000
4/6/2020,48700,296500,76200,131500
4/7/2020,49600,309000,77000,135000
4/8/2020,48600,313000,76200,136000
4/9/2020,49100,324500,76500,136500
4/10/2020,49250,324000,78200,135000
4/13/2020,48300,315000,77400,131000
4/14/2020,49000,326500,77800,133500
4/16/2020,49000,343000,77200,143000
4/17/2020,51400,362500,78000,147500
4/20/2020,50100,351500,77900,144500
4/21/2020,49250,354000,78000,142500
4/22/2020,49850,355000,79000,148000
4/23/2020,49850,361000,80200,148000
4/24/2020,49350,353500,78900,146000
4/27/2020,49850,353500,80400,150000
4/28/2020,50100,362500,80300,146500
4/29/2020,50000,376500,81100,148000
5/4/2020,48500,360000,78500,141500
5/6/2020,49200,361000,79000,146000
5/7/2020,48800,354000,78600,145000
5/8/2020,48800,352500,78700,144000
5/11/2020,48400,346500,78400,143000
5/12/2020,47900,338000,77200,141000
5/13/2020,48550,352000,78700,148500
5/14/2020,48000,344500,77100,144500
5/15/2020,47850,346500,77900,148500
5/18/2020,48800,354000,77900,155000
5/19/2020,50300,357000,78700,155000
5/20/2020,50000,362500,78500,156500
5/21/2020,49950,377500,78600,156000
5/22/2020,48750,377000,82200,155500
5/25/2020,48850,389500,85900,159500
5/26/2020,49250,414000,85300,157500
5/27/2020,49900,395500,84900,154000
5/28/2020,50400,388500,82700,155500
5/29/2020,50700,390500,83900,161000
6/1/2020,51200,396000,85000,163500
6/2/2020,51400,395000,87400,163500
6/3/2020,54500,400500,88000,165000
6/4/2020,54600,417500,87400,165000
6/5/2020,55500,434000,88300,164000
6/8/2020,54900,434000,88000,161000
6/9/2020,55500,432500,87100,161000
6/10/2020,55400,440000,85700,165000
6/11/2020,54300,463000,84800,164500
6/12/2020,52300,462000,83200,161000
6/15/2020,49900,428000,79300,155500
6/16/2020,52100,487500,82600,163000
6/17/2020,52200,491500,82300,162500
6/18/2020,52300,491000,81700,163000
6/19/2020,52900,512000,80600,162500
6/22/2020,52000,506000,79500,159000
6/23/2020,51400,504000,78800,157500
6/24/2020,52900,516000,79500,159500
6/25/2020,51900,499000,78200,159000
6/26/2020,53300,501000,78100,161500
6/29/2020,52400,489500,77700,156500
6/30/2020,52800,490500,78200,157500
7/1/2020,52600,491500,78500,157500
7/2/2020,52900,496000,79300,160500
7/3/2020,53600,507000,79800,161500
7/6/2020,55000,509000,79900,167000
7/7/2020,53400,516000,79200,166000
7/8/2020,53000,513000,79500,163000
7/9/2020,52800,539000,78600,166000
7/10/2020,52700,529000,77800,166000
7/13/2020,53400,547000,79000,164000
7/14/2020,53800,534000,80500,160500
7/15/2020,54700,544000,80700,161000
7/16/2020,53800,523000,83700,163000
7/17/2020,54400,516000,82400,160000
7/20/2020,54200,511000,83100,161500
7/21/2020,55300,531000,82300,161500
7/22/2020,54700,527000,81800,155000
7/23/2020,54100,532000,80800,150500
7/24/2020,54200,516000,80400,152500
7/27/2020,55600,517000,80600,154500
7/28/2020,58600,528000,81200,155000
7/29/2020,59000,527000,81200,155000
7/30/2020,59000,530000,82100,152000
7/31/2020,57900,568000,80900,153000
8/3/2020,56800,635000,79800,151000
8/4/2020,57300,642000,80000,152500
8/5/2020,56900,670000,80100,152000
8/6/2020,58000,680000,86000,153000
8/7/2020,57500,746000,86300,150500
8/10/2020,57800,720000,86200,150000
8/11/2020,58200,758000,88100,154500
8/12/2020,59000,741000,88300,157000
8/13/2020,58700,737000,88000,154500
8/14/2020,58000,700000,88100,154000
8/18/2020,58400,690000,85400,151500
8/19/2020,57800,683000,85800,152000
8/20/2020,55400,667000,83100,145500
8/21/2020,55900,699000,84200,147500
8/24/2020,56100,702000,85100,146000
8/25/2020,56400,713000,85400,149000
8/26/2020,56400,757000,85400,150000
8/27/2020,55600,762000,85200,149500
8/28/2020,55400,759000,84800,149500
8/31/2020,54000,740000,83100,151500
9/1/2020,54200,743000,84200,156500
9/2/2020,54400,742000,84700,159000
9/3/2020,56400,768000,83600,159000
9/4/2020,55600,743000,82700,158500
9/7/2020,56500,720000,83000,160000
9/8/2020,58700,709000,84200,156000
9/9/2020,58400,699000,84100,158000
9/10/2020,59200,713000,83700,156000
9/11/2020,59000,705000,84600,156500
9/14/2020,60400,712000,84600,158000
9/15/2020,61000,726000,84700,162500
9/16/2020,61000,687000,84800,177500
9/17/2020,59500,645000,83900,179500
9/18/2020,59300,666000,83100,182000
9/21/2020,59200,627000,83200,177000
9/22/2020,58200,639000,82100,168500
9/23/2020,58600,630000,82100,169500
9/24/2020,57800,611000,80400,170000
9/25/2020,57900,627000,80500,169500
9/28/2020,58200,626000,81900,172000
9/29/2020,58200,654000,82400,177500
10/5/2020,58700,659000,83000,182000
10/6/2020,59000,674000,83100,179000
10/7/2020,59900,680000,83100,183000
10/8/2020,59700,692000,83800,184000
10/12/2020,60400,672000,83500,188500
10/13/2020,60900,644000,83000,186500
10/14/2020,60900,628000,82100,180500
10/15/2020,60000,637000,81900,181500
10/16/2020,59500,640000,82300,181000
10/19/2020,60000,615000,83000,181500
10/20/2020,60900,621000,83100,182500
10/21/2020,60900,617000,83900,179000
10/22/2020,60100,639000,85100,170000
10/23/2020,60200,650000,85400,167500
10/26/2020,60400,646000,84300,163500
10/27/2020,59800,632000,83300,160500
10/28/2020,59000,642000,83000,161000
10/29/2020,58100,651000,82200,159000
10/30/2020,56600,611000,81000,159500
11/2/2020,57400,623000,82700,161000
11/3/2020,58800,656000,83400,163000
11/4/2020,58500,650000,83300,162000
11/5/2020,60300,677000,84000,166000
11/6/2020,60100,720000,82900,160000
11/9/2020,60200,734000,83300,162000
11/10/2020,60200,702000,84500,155500
11/11/2020,61300,692000,86900,158000
11/12/2020,61000,692000,85600,161000
11/13/2020,63200,705000,84700,161000
11/16/2020,66300,677000,84800,159500
11/17/2020,65700,686000,85800,157000
11/18/2020,64800,709000,85700,164000
11/19/2020,64600,721000,85300,166000
11/20/2020,64700,724000,86300,169500
11/23/2020,67500,748000,86400,169000
11/24/2020,67700,799000,86100,165500
11/25/2020,66600,788000,86000,163500
11/26/2020,68000,816000,84800,166000
11/27/2020,68200,810000,84400,162500
11/30/2020,66700,800000,82500,166000
12/1/2020,67800,809000,83400,164500
12/2/2020,69500,841000,84200,162000
12/3/2020,69700,846000,84300,162500
12/4/2020,71500,846000,84600,161500
12/7/2020,72900,816000,83800,158000
12/8/2020,71900,811000,84000,159500
